scheduleId,studentId,registerDate
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2101,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2201-BT2102,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2101,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
BIOT2404-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
GLAW1315-BT2102,,10/10/2020
